COMPANY NAME,COUNTY,TOWN,API WELL NUMBER,WELL NAME,WELL STATUS CODE,WELL TYPE CODE,SURFACE LONGITUDE,SURFACE LATITUDE,VERIFIED LOCATION,REGION,Georeference
Unknown,Allegany,Bolivar,31003700000000,Arbogast J 40,UN,NL,-78.14938,42.069195,NO,9,POINT (-78.14938 42.069195)
Unknown,Allegany,Alma,31003700000000,Root F 45,UM,NL,-78.05421,42.062824,NO,9,POINT (-78.05421 42.062824)
Unknown,Allegany,Bolivar,31003700000000,Dunn P 20,UM,NL,-78.15275,42.05909,NO,9,POINT (-78.15275 42.05909)
Central Oil Co.,Allegany,Scio,31003700000000,Holton 981(G),UL,OD,-78.0484,42.09339,YES,9,POINT (-78.0484 42.09339)
Unknown,Allegany,Alma,31003700000000,Root F 203,UM,NL,-78.06108,42.061024,NO,9,POINT (-78.06108 42.061024)
Unknown,Allegany,Wirt,31003700000000,Webb E 9,UM,NL,-78.14603,42.098137,NO,9,POINT (-78.14603 42.098137)
Unknown,Cattaraugus,Allegany,31009700000000,KC 92,UN,NL,-78.49101,42.024029,NO,9,POINT (-78.49101 42.024029)
Unknown,Allegany,Wirt,31003700000000,Schamberger J 84,UM,NL,-78.18958,42.089901,NO,9,POINT (-78.18958 42.089901)
Burdett Oil & Gas,Schuyler,Hector,31097000000000,Kellogg 1,UL,DW,-76.77079,42.40855,NO,8,POINT (-76.77079 42.40855)
"BDH Oil, Inc.",Cattaraugus,Allegany,31009100000000,Nichols Run Ho-212,UN,OD,-78.57779,42.01673,NO,9,POINT (-78.57779 42.01673)
Moore Producing Co.,Allegany,Bolivar,31003600000000,Curtis Farm 133,UL,IW,-78.18681,42.07579,NO,9,POINT (-78.18681 42.07579)
Cities Service,Genesee,Pavilion,31037000000000,Phelps 1,UL,GD,-78.00634,42.86994,YES,8,POINT (-78.00634 42.86994)
Unknown,Cattaraugus,Allegany,31009700000000,KC 213,UN,NL,-78.50683,42.001144,NO,9,POINT (-78.50683 42.001144)
"Lane, Dona M. & Kenneth S.",Chautauqua,Harmony,31013100000000,Vruwink NY 13,UL,GE,-79.48013,42.03265,NO,9,POINT (-79.48013 42.03265)
Unknown,Allegany,Bolivar,31003600000000,Phillips Farm 36,UL,IW,-78.11129,42.083331,YES,9,POINT (-78.11129 42.083331)
Unknown,Steuben,West Union,31101000000000,Unnamed,UM,DW,-77.66159,42.08409,NO,8,POINT (-77.66159 42.08409)
Unknown,Allegany,Alma,31003700000000,Root F 116,UM,NL,-78.05746,42.058746,NO,9,POINT (-78.05746 42.058746)
Meridian Gas Co.,Onondaga,Van Buren,31067000000000,Herrington,UM,GD,-76.34724,43.14369,NO,7,POINT (-76.34724 43.14369)
Rex Natural Gas Co.,Steuben,Greenwood,31101000000000,McCormick 1,UL,DW,-77.63374,42.10072,NO,8,POINT (-77.63374 42.10072)
Unknown,Cattaraugus,Allegany,31009600000000,Stephan U8,UL,OD,-78.49447,42.039759,YES,9,POINT (-78.49447 42.039759)
Sheridan Fruit Farm,Chautauqua,Sheridan,31013000000000,Huyck F B Est Gould Helen,UM,GD,-79.24382,42.48136,NO,9,POINT (-79.24382 42.48136)
Unknown,Allegany,Bolivar,31003700000000,OR 27,UL,NL,-78.09208,42.06569,YES,9,POINT (-78.09208 42.06569)
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,Rex P-360,UL,NL,-77.69623,42.09412,NO,8,POINT (-77.69623 42.09412)
